"Director_id","Name","Rating","Movie_Count"
nm0003593,Fred Zinnemann,7.77,4
nm0001486,Sidney Lumet,7.75,8
nm0715346,Carol Reed,7.75,2
nm0712947,Nicholas Ray,7.75,2
nm0877078,Yavuz Turgul,7.75,2
nm0698184,Priyadarshan,7.75,2
nm0769874,Franklin J. Schaffner,7.73,4
nm1732981,Martin McDonagh,7.73,4
nm0001843,James Whale,7.73,3
nm0000581,Joseph L. Mankiewicz,7.73,3
nm0396074,Mamoru Hosoda,7.73,3
nm0327944,Alejandro G. Iñárritu,7.72,6
nm0001232,Milos Forman,7.7,6
nm1396121,Makoto Shinkai,7.7,4
nm1168657,Andrey Zvyagintsev,7.7,3
nm0923736,Joss Whedon,7.7,3
nm0138809,John Carney,7.7,3
nm1016428,James Marsh,7.7,2
nm0229424,Edward Dmytryk,7.7,1
nm0256831,Cy Endfield,7.7,1
nm0482537,René Laloux,7.7,1
nm0065615,Wolfgang Becker,7.7,1
nm0611932,Peter Mullan,7.7,1
nm0137228,Christian Carion,7.7,1
nm0379179,Mark Herman,7.7,1
nm4861887,Torquil Jones,7.7,1
nm2556572,Jeong-beom Lee,7.7,1
nm0620363,Tetsuya Nakashima,7.7,1
nm3834799,Charlotte Wells,7.7,1
nm2155757,Josh Cooley,7.7,1
nm0444244,Abdellatif Kechiche,7.7,1
nm1957706,Claude Barras,7.7,1
nm0391502,Hannes Holm,7.7,1
nm1322477,Abhishek Chaubey,7.7,1
nm0002645,Paolo Genovese,7.7,1
nm2942187,Darius Marder,7.7,1
nm0619110,Tatsuya Nagamine,7.7,1
nm0001392,Peter Jackson,7.69,13
nm0000033,Alfred Hitchcock,7.68,24
nm0001351,George Roy Hill,7.68,4
nm1436693,A.R. Murugadoss,7.68,4
nm0000217,Martin Scorsese,7.67,21
nm1410815,Asghar Farhadi,7.67,6
nm0000076,François Truffaut,7.67,3
nm1079062,Oriol Paulo,7.67,3
nm0000399,David Fincher,7.66,11
nm0601619,Michael Moore,7.65,6
nm0094435,Bong Joon Ho,7.65,6
nm0000774,Michelangelo Antonioni,7.65,2
nm0671957,Arthur Penn,7.65,2
nm0651900,Mamoru Oshii,7.65,2
nm0600546,Lukas Moodysson,7.65,2
nm0518836,Kenneth Lonergan,7.65,2
nm0276349,Shane Meadows,7.65,2
nm0948488,Hiromasa Yonebayashi,7.65,2
nm0000154,Mel Gibson,7.64,5
nm0000277,Richard Attenborough,7.63,3
nm1665004,Imtiaz Ali,7.62,4
nm0424103,Karan Johar,7.6,3
nm0564970,Leo McCarey,7.6,2
nm0828419,George Stevens,7.6,2
nm0772259,John Schlesinger,7.6,2
nm0404606,Brian G. Hutton,7.6,2
nm0423646,Roland Joffé,7.6,2
nm0001429,Takeshi Kitano,7.6,2
nm0711745,Mani Ratnam,7.6,2
nm0421314,Anders Thomas Jensen,7.6,2
nm2947553,Na Hong-jin,7.6,2
nm1903006,Gauri Shinde,7.6,2
nm1950086,Greta Gerwig,7.6,2
nm0896533,Charles Vidor,7.6,1
